Sold Price (AUD),Bedrooms,Bathrooms,Car Spaces,Land Size (m2),Travel Time to CBD (min),Has Garden,Sale Year,Sale Month,Suburb_Burwood,Suburb_Hawthorn,Suburb_Ringwood,Property Type_House,Property Type_Unit
928000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-0.9279646940284803,1,0.5629784083986551,0.14484136487558041,0,1,0,0,1
712500,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.7419688115973226,0,0.5629784083986551,0.14484136487558041,0,1,0,0,1
687000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,-1.7419688115973226,0,0.5629784083986551,0.14484136487558041,0,1,0,0,1
390000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.579167988083554,0,0.5629784083986551,0.14484136487558041,0,1,0,0,1
735000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,-1.2535663410560172,0,0.5629784083986551,0.14484136487558041,0,1,0,0,1
680000,-0.4353188567282851,0.9423064972256977,0.572218164967335,-0.6794435738696002,-1.579167988083554,0,0.5629784083986551,0.14484136487558041,0,1,0,0,1
600000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,-1.2535663410560172,0,0.5629784083986551,-0.2172620473133703,0,1,0,0,1
2475000,1.3536627462646669,0.9423064972256977,0.572218164967335,2.72274915204569,-1.7419688115973226,1,0.5629784083986551,-0.2172620473133703,0,1,0,1,0
610000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.4163671645697857,0,0.5629784083986551,-0.2172620473133703,0,1,0,0,1
615000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-0.7651638705147118,0,0.5629784083986551,0.14484136487558041,0,1,0,0,1
555000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.7419688115973226,0,0.5629784083986551,0.14484136487558041,0,1,0,0,1
386000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.9047696351110912,0,0.5629784083986551,-0.2172620473133703,0,1,0,0,1
595000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.579167988083554,0,0.5629784083986551,-0.2172620473133703,0,1,0,0,1
325000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.2535663410560172,0,0.5629784083986551,-0.2172620473133703,0,1,0,0,1
635000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,-1.2535663410560172,0,0.5629784083986551,-0.2172620473133703,0,1,0,0,1
615000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.0907655175422488,0,0.5629784083986551,-0.579365459502321,0,1,0,0,1
395000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-0.9279646940284803,0,0.5629784083986551,-0.579365459502321,0,1,0,0,1
1094000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.579167988083554,1,0.5629784083986551,-0.579365459502321,0,1,0,0,1
589000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.0907655175422488,1,0.5629784083986551,-0.579365459502321,0,1,0,0,1
1720000,0.4591719447681909,-0.8027055346737424,0.572218164967335,0.5327969855881307,-0.9279646940284803,1,0.5629784083986551,-0.579365459502321,0,1,0,1,0
845000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.2535663410560172,1,0.5629784083986551,-0.579365459502321,0,1,0,0,1
645000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.2535663410560172,0,0.5629784083986551,-0.579365459502321,0,1,0,0,1
262000,-1.3298096582247612,-0.8027055346737424,-1.7475852065218607,-0.6794435738696002,-1.579167988083554,0,0.5629784083986551,-0.9414688716912717,0,1,0,0,1
600000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,-0.7651638705147118,0,0.5629784083986551,-0.9414688716912717,0,1,0,0,1
430000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-0.9279646940284803,0,0.5629784083986551,-0.579365459502321,0,1,0,0,1
498000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.579167988083554,0,0.5629784083986551,-0.579365459502321,0,1,0,0,1
600000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-0.7651638705147118,0,0.5629784083986551,-0.579365459502321,0,1,0,0,1
328000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-0.9279646940284803,0,0.5629784083986551,-0.579365459502321,0,1,0,0,1
645000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,-1.2535663410560172,0,0.5629784083986551,-0.579365459502321,0,1,0,0,1
990000,0.4591719447681909,0.9423064972256977,0.572218164967335,-0.6794435738696002,-0.6023630470009432,0,0.5629784083986551,-0.579365459502321,0,1,0,0,1
395000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-0.4395622234871748,0,0.5629784083986551,-0.579365459502321,0,1,0,0,1
765000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.7419688115973226,0,0.5629784083986551,-0.579365459502321,0,1,0,0,1
555000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.7419688115973226,0,0.5629784083986551,-0.9414688716912717,0,1,0,0,1
520000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.2535663410560172,0,0.5629784083986551,-0.9414688716912717,0,1,0,0,1
900000,-0.4353188567282851,0.9423064972256977,0.572218164967335,-0.6794435738696002,-1.7419688115973226,0,0.5629784083986551,-0.9414688716912717,0,1,0,0,1
515000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.4163671645697857,0,0.5629784083986551,-0.9414688716912717,0,1,0,0,1
440000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.2535663410560172,0,0.5629784083986551,-0.9414688716912717,0,1,0,0,1
672000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.9047696351110912,0,0.5629784083986551,-0.9414688716912717,0,1,0,0,1
600000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,-1.0907655175422488,0,0.5629784083986551,-0.9414688716912717,0,1,0,0,1
721000,-0.4353188567282851,-0.8027055346737424,0.572218164967335,-0.6794435738696002,-0.6023630470009432,0,0.5629784083986551,-0.9414688716912717,0,1,0,0,1
1281000,0.4591719447681909,0.9423064972256977,0.572218164967335,-0.47537292692571087,-0.4395622234871748,0,0.5629784083986551,-0.9414688716912717,0,1,0,1,0
462000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.579167988083554,0,0.5629784083986551,-1.3035722838802224,0,1,0,0,1
447500,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.579167988083554,0,0.5629784083986551,-1.3035722838802224,0,1,0,0,1
480000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.2535663410560172,0,0.5629784083986551,-1.3035722838802224,0,1,0,0,1
565000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-0.9279646940284803,0,0.5629784083986551,-1.3035722838802224,0,1,0,0,1
2500000,1.3536627462646669,0.9423064972256977,0.572218164967335,-0.6794435738696002,-1.4163671645697857,1,0.5629784083986551,-1.3035722838802224,0,1,0,1,0
540000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-1.4163671645697857,0,0.5629784083986551,-0.9414688716912717,0,1,0,0,1
3500000,1.3536627462646669,0.9423064972256977,1.7321198507119329,1.1876505541394176,-1.4163671645697857,0,-1.6593047826486942,1.5932550136313832,0,1,0,1,0
1275000,0.4591719447681909,2.687318529125138,-0.5876835207772628,-0.47537292692571087,-1.2535663410560172,0,0.5629784083986551,0.8690481892534817,0,1,0,1,0
1180000,0.4591719447681909,-0.8027055346737424,0.572218164967335,0.31045135533583335,-1.4163671645697857,0,-3.8815879736960435,1.2311516014424324,0,1,0,1,0
760000,0.4591719447681909,0.9423064972256977,-0.5876835207772628,2.147087177830838,0.3744418940816676,1,0.5629784083986551,0.14484136487558041,0,0,1,1,0
2105000,2.248153547761143,2.687318529125138,0.572218164967335,1.3033921150926682,1.0256451881367417,1,0.5629784083986551,0.14484136487558041,0,0,1,1,0
701000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,0.057647419569522615,0.8628443646229731,1,0.5629784083986551,0.14484136487558041,0,0,1,1,0
1300000,1.3536627462646669,0.9423064972256977,0.572218164967335,1.1876505541394176,1.0256451881367417,1,0.5629784083986551,0.14484136487558041,0,0,1,1,0
1120000,1.3536627462646669,-0.8027055346737424,-0.5876835207772628,1.4587294732141363,0.7000435411092046,1,0.5629784083986551,0.14484136487558041,0,0,1,1,0
1340000,1.3536627462646669,0.9423064972256977,0.572218164967335,1.3795378788777015,0.7000435411092046,1,0.5629784083986551,-0.2172620473133703,0,0,1,1,0
950000,0.4591719447681909,0.9423064972256977,4.051923222201128,2.0526664307373967,0.8628443646229731,1,0.5629784083986551,-0.2172620473133703,0,0,1,1,0
1015000,0.4591719447681909,0.9423064972256977,0.572218164967335,-0.0032691914585040688,0.5372427175954361,1,0.5629784083986551,-0.2172620473133703,0,0,1,1,0
2200000,2.248153547761143,2.687318529125138,1.7321198507119329,1.5044169314851563,1.3512468351642786,1,0.5629784083986551,-0.2172620473133703,0,0,1,1,0
