Suburb,Sold Price (AUD),Property Type,Bedrooms,Bathrooms,Car Spaces,Land Size (m2),Floor Area (m2),Sale Date,Travel Time to CBD (min),Has Garden
Hawthorn,928000,Unit,2,1,1,,,09/05/2026,25,1
Hawthorn,712500,Unit,2,1,1,,90,09/05/2026,20,0
Hawthorn,687000,Unit,2,2,1,,,09/05/2026,20,0
Hawthorn,390000,Unit,1,1,1,,,08/05/2026,21,0
Hawthorn,735000,Unit,2,2,1,,93,07/05/2026,23,0
Hawthorn,680000,Unit,2,2,2,,,02/05/2026,21,0
Hawthorn,600000,Unit,2,2,1,,,25/04/2026,23,0
Hawthorn,2475000,House,4,2,2,1117,,24/04/2026,20,1
Hawthorn,610000,Unit,2,1,1,,,23/04/2026,22,0
Hawthorn,615000,Unit,1,1,1,,592,21/05/2026,26,0
Hawthorn,555000,Unit,2,1,1,,,15/05/2026,20,0
Hawthorn,386000,Unit,1,1,1,,,14/04/2026,19,0
Hawthorn,595000,Unit,2,1,1,,,10/04/2026,21,0
Hawthorn,325000,Unit,1,1,1,,,10/04/2026,23,0
Hawthorn,635000,Unit,2,2,1,,62,07/04/2026,23,0
Hawthorn,615000,Unit,2,1,1,,,31/03/2026,24,0
Hawthorn,395000,Unit,1,1,1,,,30/03/2026,25,0
Hawthorn,1094000,Unit,2,1,1,,,28/03/2026,21,1
Hawthorn,589000,Unit,1,1,1,,,28/03/2026,24,1
Hawthorn,1720000,House,3,1,2,398,,21/03/2026,25,1
Hawthorn,845000,Unit,2,1,1,,,21/03/2026,23,1
Hawthorn,645000,Unit,2,1,1,,,20/03/2026,23,0
Hawthorn,262000,Unit,1,1,0,,,23/02/2026,21,0
Hawthorn,600000,Unit,2,2,1,,,18/02/2026,26,0
Hawthorn,430000,Unit,1,1,1,,,17/03/2026,25,0
Hawthorn,498000,Unit,2,1,1,,,16/03/2026,21,0
Hawthorn,600000,Unit,1,1,1,,,07/03/2026,26,0
Hawthorn,328000,Unit,1,1,1,,,11/03/2026,25,0
Hawthorn,645000,Unit,2,2,1,,,10/03/2026,23,0
Hawthorn,990000,Unit,3,2,2,,,06/03/2026,27,0
Hawthorn,395000,Unit,1,1,1,,,06/03/2026,28,0
Hawthorn,765000,Unit,2,1,1,,77,02/03/2026,20,0
Hawthorn,555000,Unit,2,1,1,,,28/02/2026,20,0
Hawthorn,520000,Unit,2,1,1,,,15/02/2026,23,0
Hawthorn,900000,Unit,2,2,2,,,27/02/2026,20,0
Hawthorn,515000,Unit,2,1,1,,,27/02/2026,22,0
Hawthorn,440000,Unit,1,1,1,,,28/02/2026,23,0
Hawthorn,672000,Unit,2,1,1,,,25/02/2026,19,0
Hawthorn,600000,Unit,2,2,1,,,17/02/2026,24,0
Hawthorn,721000,Unit,2,1,2,,,10/02/2026,27,0
Hawthorn,1281000,House,3,2,2,67,,09/02/2026,28,0
Hawthorn,462000,Unit,1,1,1,,,07/01/2026,21,0
Hawthorn,447500,Unit,1,1,1,,,09/01/2026,21,0
Hawthorn,480000,Unit,1,1,1,,,16/01/2026,23,0
Hawthorn,565000,Unit,2,1,1,,72,22/01/2026,25,0
Hawthorn,2500000,House,4,2,2,,,31/01/2026,22,1
Hawthorn,540000,Unit,2,1,1,,,03/02/2026,22,0
Hawthorn,3500000,House,4,2,3,613,,13/09/2025,22,0
Hawthorn,1275000,House,3,3,1,67,,09/07/2026,23,0
Hawthorn,1180000,House,3,1,2,325,,10/08/2024,22,0
Ringwood,760000,House,3,2,1,928,,11/05/2026,33,1
Ringwood,2105000,House,5,3,2,651,,09/05/2026,37,1
Ringwood,701000,House,2,1,1,242,,09/05/2026,36,1
Ringwood,1300000,House,4,2,2,613,,05/05/2026,37,1
